ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"181.209.113.234","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","249","Gomez Dario Javier","1082","socks4","5014","1","2024-01-29T01:30:47.630Z","98","5760","5895"
"95.182.78.8","elite","AS50648","UA","PE UAinet","61","PE UAinet","5678","socks4","4996","1","2024-01-29T01:30:47.632Z","100","5836","5863"
"69.48.179.103","elite","AS55293","US","A2 Hosting, Inc.","89","A2 Hosting, Inc.","80","http","118","6394","2024-01-29T01:30:47.638Z","100","1","1"
"104.20.24.214","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1805","1","2024-01-29T01:30:44.544Z","100","5884","5885"
"177.38.5.45","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","197","FÁBIO MENDES DIAS LTDA ME","4153","socks4","2410","1","2024-01-29T01:30:44.543Z","91","5351","5875"
"104.22.37.236","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4606","1","2024-01-29T01:30:44.541Z","100","5889","5889"
"69.245.21.126","elite","AS22909","US","Comcast Cable Communications, LLC","115","Comcast Cable Communications, Inc","80","socks4","4411","1","2024-01-29T01:30:44.542Z","71","4199","5879"
"80.52.223.98","elite","AS5617","PL","Orange Polska Spolka Akcyjna","38","Orange Polska S.A.","5678","socks4","3593","1","2024-01-29T01:30:44.638Z","98","5772","5868"
"177.131.29.211","elite","AS262378","BR","Compuservice Empreendimentos Ltda","192","Compuservice Empreendimentos Ltda","4153","socks4","1904","1","2024-01-29T01:30:41.439Z","99","5746","5825"
"36.94.110.49","elite","AS7713","ID","PT. Telekomunikasi Indonesia","197","Telekomunikasi Indonesia","5678","socks4","4806","1","2024-01-29T01:30:41.433Z","99","5775","5844"
"221.132.18.38","elite","AS45899","VN","VNPT","208","Vietnam Posts and Telecommunications Group","80","socks4","809","1","2024-01-29T01:30:41.436Z","100","5842","5867"
"202.124.43.250","elite","AS9902","KH","NeocomISP Limited","188","NeocomISP Limited","4145","socks4","4302","1","2024-01-29T01:30:41.434Z","99","5843","5903"
"45.112.125.55","elite","AS58369","ID","FIBERNET","193","N/A","4145","socks4","4810","1","2024-01-29T01:30:41.435Z","99","5859","5908"
"164.132.68.216","elite","AS16276","FR","OVH SAS","82","EL Zayat Hadi","8888","socks4","4510","1","2024-01-29T01:30:41.631Z","100","5934","5939"
"120.46.155.74","elite","AS55990","CN","Huawei Cloud Service data center","167","Huawei Cloud Service","7890","socks4","5000","1","2024-01-29T01:30:38.338Z","74","4300","5828"
"202.44.228.125","elite","AS4618","TH","Internet Thailand Company Ltd.","288","Internet Thailand Company Limited","4153","socks4","4999","1","2024-01-29T01:30:38.239Z","39","2262","5804"
"91.187.120.12","elite","AS21246","AL","IPKO Telecommunications LLC","99","N/A","5678","socks4","3096","1","2024-01-29T01:30:38.339Z","100","5844","5859"
"43.153.177.137","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","292","Tencent Cloud Computing","13220","socks4","3713","1","2024-01-29T01:30:38.238Z","98","5696","5836"
"202.159.60.65","elite","AS9340","ID","PT IndoInternet","166","N/A","443","socks4","2201","1","2024-01-29T01:30:38.245Z","100","5852","5874"
"167.99.80.74","elite","AS14061","GB","DigitalOcean, LLC","17","DigitalOcean, LLC","8080","socks4","2195","1","2024-01-29T01:30:38.240Z","100","5871","5880"
"110.77.184.196","elite","AS131090","TH","CAT Telecom Public Company Limited","287","CAT BB","5678","socks4","4303","1","2024-01-29T01:30:35.441Z","81","4771","5891"
"113.8.212.126","elite","AS4837","CN","CNC Group CHINA169 Heilongjiang Province Network","290","N/A","7242","socks5","2710","1","2024-01-29T01:30:35.437Z","41","2381","5781"
"84.22.45.175","elite","AS33983","AL","Artmotion Sh.P.K.","40","Artmotion","1080","socks4","4507","1","2024-01-29T01:30:32.437Z","99","5810","5860"
"172.67.181.197","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1810","1","2024-01-29T01:30:32.529Z","100","5913","5914"
"114.88.100.108","elite","AS4812","CN","China Telecom (Group)","207","Chinanet SH","57114","socks4","5013","1","2024-01-29T01:30:32.434Z","63","3635","5760"
"85.100.40.12","elite","AS47331","TR","TurkTelecom","93","Turk Telekomunikasyon A.S","5678","socks4","456","1","2024-01-29T01:30:32.532Z","98","5845","5950"
"45.70.237.133","elite","AS52468","EC","Ufinet Panama S.A.","164","Negocios Y Telefonia Nedetel S.A","4145","socks4","3996","1","2024-01-29T01:30:32.435Z","100","5769","5791"
"185.169.181.22","elite","AS34984","TR","Ates Dc","73","Ibrahim MALA trading as Ates Dc","4145","socks4","5289","1","2024-01-29T01:30:32.628Z","100","5876","5892"
"85.37.200.4","elite","AS3269","IT","Telecom Italia S.p.A.","24","Kayser Italia SRL","5678","socks5","5099","1","2024-01-29T01:30:29.043Z","99","5729","5772"
"181.88.73.182","elite","AS7303","AR","Telecom Argentina S.A","244","Telecom Acceso","5678","socks4","4098","1","2024-01-29T01:30:29.028Z","99","5901","5931"
"140.250.150.56","elite","AS4134","CN","Chinanet","296","Chinanet SD","1080","socks4","3112","1","2024-01-29T01:30:29.029Z","80","4642","5832"
"43.134.225.110","elite","AS132203","SG","Aceville Pte.ltd","327","N/A","443","socks5","4606","1","2024-01-29T01:30:29.027Z","93","5449","5887"
"31.146.60.54","elite","AS35805","GE","JSC \"Silknet\"","76","Silknet Gpon","8080","socks4","4395","1","2024-01-29T01:30:28.943Z","100","5860","5872"
"49.51.22.107","elite","AS132203","CA","OPHL","94","Tencent cloud computing (Beijing) Co., Ltd.","443","socks5","1605","1","2024-01-29T01:30:28.942Z","71","4171","5864"
"110.87.13.5","elite","AS4134","CN","Chinanet","288","Chinanet FJ","23456","socks5","4800","1","2024-01-29T01:30:28.945Z","62","3682","5959"
"91.90.114.237","elite","AS49787","PL","STRONG-PC","43","STRONG-PC Tomasz Piekarski","1080","socks5","3215","1","2024-01-29T01:30:26.242Z","89","5308","5974"
"205.185.117.77","elite","AS53667","US","FranTech Solutions","139","FranTech Solutions","16831","socks4","4385","1","2024-01-29T01:30:26.236Z","100","5835","5854"
"52.97.183.166","elite","AS8075","NL","Microsoft Corporation","83","Microsoft Corporation","80","socks4","2905","1","2024-01-29T01:30:23.533Z","100","5812","5813"
"172.104.56.209","elite","AS63949","SG","Akamai Technologies","146","Linode","9050","socks5","2206","1","2024-01-29T01:30:23.433Z","99","5862","5925"
"202.166.205.242","elite","AS17501","NP","WorldLink Communications","183","N/A","17501","socks4","1000","1","2024-01-29T01:30:23.435Z","97","5770","5936"
"140.83.52.96","elite","AS31898","JP","Oracle Corporation","397","Oracle Cloud Infrastructure (ap-osaka-1)","41379","socks4","691","1","2024-01-29T01:30:23.438Z","71","4185","5909"
"199.188.89.136","elite","AS64200","US","Vivid-hosting LLC","194","Vivid-hosting LLC","9000","socks4","4198","1","2024-01-29T01:30:23.439Z","100","5829","5840"
"177.73.248.26","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","219","Prompt Brasil Solucoes EM TI Ltda","55290","socks4","4695","1","2024-01-29T01:30:23.431Z","69","3957","5775"
"46.227.37.49","elite","AS51155","PL","Telemedian - TB Telecom","91","Telemedian","1088","socks4","3804","1","2024-01-29T01:30:23.532Z","100","5747","5764"
"126.70.140.73","elite","AS17676","JP","Softbank BB Corp.","246","SOFTBANK Corp","80","socks4","4116","1","2024-01-29T01:30:20.243Z","100","5849","5853"
"178.128.119.195","elite","AS14061","SG","DigitalOcean, LLC","159","Digitalocean","3128","socks4","2402","1","2024-01-29T01:30:20.328Z","100","5906","5907"
"103.47.93.113","elite","AS134058","IN","Broban Internet Services Pvt.ltd","293","Broban  PVT Ltd.","13405","socks4","4399","1","2024-01-29T01:30:20.330Z","99","5884","5932"
"187.103.74.137","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","167","1telecom Servicos De Tecnologia EM Internet Ltda","5678","socks4","5298","1","2024-01-29T01:30:20.245Z","95","5598","5912"
"159.192.139.42","elite","AS131090","TH","CAT-BB","285","N/A","5678","socks4","4699","3","2024-01-29T01:30:17.337Z","97","5727","5931"
"45.115.115.145","elite","AS55828","BD","Drik ICT Ltd","183","Drik ICT Ltd","31141","socks4","299","1","2024-01-29T01:30:17.335Z","97","5771","5938"
"140.250.93.245","elite","AS4134","CN","Chinanet","198","Chinanet SD","1080","socks4","4506","1","2024-01-29T01:30:14.345Z","84","4914","5840"
"200.0.247.85","elite","AS10834","AR","Telefonica de Argentina","297","Smart S.A","4153","socks4","1307","1","2024-01-29T01:30:14.336Z","58","3432","5920"
"177.38.5.250","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","280","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4305","1","2024-01-29T01:30:14.335Z","86","5090","5942"
"183.89.148.233","elite","AS45629","TH","Triple T Broadband Public Company Limited","194","Triple T Broadband Public Company Limited","8080","socks4","4597","1","2024-01-29T01:30:14.344Z","88","5152","5833"
"200.70.34.22","elite","AS10834","AR","Telefonica de Argentina","280","Telefonica de Argentina","4153","socks4","134","7520","2024-01-29T01:30:14.343Z","100","1","1"
"103.86.1.25","elite","AS136371","IN","Airwir Technologies Private Limited","196","Airwir Technologies Private Limited","4145","socks4","6249","1","2024-01-29T01:30:14.342Z","100","5877","5890"
"103.47.93.245","elite","AS134058","IN","Broban Internet Services Pvt.ltd","275","Broban  PVT Ltd.","1080","socks4","3704","1","2024-01-29T01:30:14.332Z","99","5845","5898"
"41.139.16.114","elite","AS35091","GH","Teledata, Ghana","122","TeledataICTBlock MTN GSM Network","1080","socks5","2889","1","2024-01-29T01:30:14.340Z","87","5013","5791"
"190.0.22.38","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","164","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","893","1","2024-01-29T01:30:14.427Z","99","5867","5917"
"45.76.9.121","elite","AS20473","US","The Constant Company","89","Vultr Holdings, LLC","11324","socks5","4999","1","2024-01-29T01:30:11.434Z","97","5657","5807"
"189.201.191.67","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","141","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","4286","1","2024-01-29T01:30:11.429Z","99","5858","5911"
"95.106.133.43","elite","AS12389","RU","Macroregional Center","94","Rostelecom Ltd.","8080","socks5","4911","1","2024-01-29T01:30:11.346Z","43","2534","5911"
"2.135.223.134","elite","AS9198","KZ","JSC Kazakhtelecom","94","Legion","5678","socks4","4909","1","2024-01-29T01:30:11.431Z","95","5567","5867"
"88.198.219.62","elite","AS24940","DE","Hetzner Online GmbH","82","Hetzner","80","socks4","2591","1","2024-01-29T01:30:11.430Z","100","5875","5881"
"51.89.16.111","elite","AS16276","GB","OVH SAS","11","OVH","49528","socks4","2695","1","2024-01-29T01:30:11.529Z","100","5788","5790"
"43.135.160.152","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks5","1406","81","2024-01-29T01:30:11.435Z","73","4222","5816"
"185.132.228.237","elite","AS210238","IT","Dieffeitalia.it S.r.l.","35","Dieffeitalia.it S.r.l","21023","socks5","4700","1","2024-01-29T01:30:11.528Z","99","5729","5806"
"103.59.203.141","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","128","NET 4 U Services PVT LTD","4145","socks4","5108","1","2024-01-29T01:30:11.432Z","99","5725","5765"
"159.192.233.69","elite","AS131090","TH","CAT-BB","237","N/A","4145","socks5","3319","2","2024-01-29T01:30:07.427Z","80","4743","5893"
"103.38.205.3","elite","AS45916","IN","gtpl hariom world vision","120","Gtpl Broadband Pvt. Ltd.","45916","socks4","4696","1","2024-01-29T01:30:07.432Z","100","5829","5853"
"203.30.191.92","elite","AS209242","BZ","Cloudflare London, LLC","15","Umpire Associates LTD","80","socks5","4605","1","2024-01-29T01:30:07.434Z","100","5855","5856"
"36.90.50.9","elite","AS7713","ID","PT. Telekomunikasi Indonesia","180","Telekomunikasi Indonesia","5678","socks4","1592","2","2024-01-29T01:30:07.428Z","80","4656","5792"
"183.89.249.192","elite","AS45629","TH","Triple T Broadband Public Company Limited","165","Triple T Broadband Public Company Limited","4153","socks4","4600","1","2024-01-29T01:30:07.433Z","97","5690","5849"
"101.43.3.207","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","281","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","4099","1","2024-01-29T01:30:07.429Z","74","4310","5813"
"202.107.74.24","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","203","N/A","7312","socks5","2399","1","2024-01-29T01:30:07.430Z","86","5075","5930"
"103.66.233.153","elite","AS134014","IN","NET 4 U SERVICES","189","N/A","4145","socks4","2303","1","2024-01-29T01:30:03.639Z","99","5806","5839"
"104.18.136.28","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3701","1","2024-01-29T01:30:03.645Z","100","5930","5931"
"190.113.12.75","elite","AS22860","CL","Servicios Internet Ltda","206","TECNOERA-WEBHOSTING","3389","socks5","4213","1","2024-01-29T01:30:03.644Z","100","5879","5901"
"115.133.236.53","elite","AS4788","MY","TM TECHNOLOGY SERVICES SDN BHD","154","Adsl Streamyx","8080","socks4","3707","1","2024-01-29T01:30:03.643Z","99","5795","5847"
"103.40.122.194","elite","AS63508","ID","PT DINAMIKA MEDIAKOM","191","N/A","1080","socks4","5110","1","2024-01-29T01:30:03.641Z","97","5695","5857"
"1.0.0.187","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks4","1389","1","2024-01-29T01:30:00.435Z","100","5870","5870"
"178.128.148.69","elite","AS14061","US","DigitalOcean, LLC","85","Digitalocean","3128","socks4","1584","1","2024-01-29T01:30:00.536Z","100","5827","5843"
"119.28.73.226","elite","AS132203","HK","ComsenzNet","284","Tencent cloud computing (Beijing) Co., Ltd.","30002","socks4","4920","1","2024-01-29T01:30:00.438Z","100","5822","5847"
"103.121.89.75","elite","AS135967","VN","Cau Giay Branch of Bach Kim Network solutions Join stock company","184","BKNS-CG","39267","socks5","3596","1","2024-01-29T01:30:00.433Z","96","5604","5849"
"92.204.135.4","elite","AS398108","US","GoDaddy.com, LLC","80","N/A","57739","socks4","229","171","2024-01-29T01:30:00.437Z","100","1","1"
"77.99.40.240","elite","AS5089","GB","Virgin Media","22","N/A","9090","socks4","4112","1","2024-01-29T01:30:00.439Z","96","5694","5907"
"36.255.104.1","elite","AS136238","MV","SatLink Pvt Ltd","186","N/A","13623","socks4","5100","1","2024-01-29T01:30:00.437Z","99","5855","5892"
"44.190.9.101","elite","AS15102","CA","Corridor Communications, INC.","168","Amateur Radio Digital Communications","48100","socks4","3406","1","2024-01-29T01:29:57.640Z","99","5816","5854"
"143.255.178.129","elite","AS264641","CL","LanProject SPA","282","LanProject SPA","4153","socks4","2596","1","2024-01-29T01:29:57.728Z","100","5889","5910"
"200.93.64.216","elite","AS8048","VE","CANTV Servicios, Venezuela","291","CANTV Servicios, Venezuela","8080","socks4","1907","1","2024-01-29T01:29:57.639Z","22","1299","5852"
"37.152.163.95","elite","AS198569","IR","Rahanet Zanjan Co. (Private Joint-Stock)","194","Rahanet Zanjan Co.","4153","socks4","217","1","2024-01-29T01:29:57.743Z","94","5525","5859"
"177.38.5.19","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","204","FÁBIO MENDES DIAS LTDA ME","4153","socks4","3796","1","2024-01-29T01:29:57.729Z","97","5719","5924"
"165.84.180.22","elite","AS10103","HK","Hong Kong Broadband Network Ltd","289","Hong Kong Broadband Network Ltd","56695","socks4","5005","1","2024-01-29T01:29:57.730Z","96","5641","5885"
"51.68.125.26","elite","AS16276","FR","OVH SAS","6","OVH","7497","socks5","419","1","2024-01-29T01:29:57.744Z","100","5915","5915"
"51.81.31.66","elite","AS16276","US","OVH SAS","197","OVH US LLC","54535","socks4","4504","81","2024-01-29T01:29:54.838Z","100","5904","5904"
"186.10.102.218","elite","AS27651","CL","Entel Chile S.A.","261","Entel Chile S.A","5678","socks4","4701","1","2024-01-29T01:29:54.837Z","99","5741","5819"
"88.20.124.158","elite","AS3352","ES","Telefonica de Espana SAU","27","RIMA (Red IP Multi Acceso)","4145","socks4","3911","1","2024-01-29T01:29:52.040Z","97","5683","5871"
"43.250.81.154","elite","AS58689","BD","ICC Communication","182","N/A","34432","socks4","4097","1","2024-01-29T01:29:52.038Z","83","4896","5923"
"182.160.125.148","elite","AS24323","BD","Aamra Networks Limited","156","N/A","8080","socks4","4298","1","2024-01-29T01:29:52.230Z","95","5551","5828"
"38.127.172.115","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","11537","socks4","5702","1","2024-01-29T01:29:52.231Z","100","5795","5809"
"110.34.166.180","elite","AS45652","SG","VPLS-SIN","292","Vpls Sin1","4153","socks4","5003","1","2024-01-29T01:29:52.037Z","99","5833","5878"
"172.67.231.3","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2913","1","2024-01-29T01:29:52.038Z","100","5850","5850"
"189.201.189.2","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","142","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","793","1","2024-01-29T01:29:49.038Z","99","5816","5880"
"200.70.19.94","elite","AS10834","AR","Telefonica de Argentina","291","Telefonica de Argentina","4153","socks4","396","1","2024-01-29T01:29:48.941Z","99","5777","5855"
"136.243.148.97","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","25928","socks4","3597","1","2024-01-29T01:29:48.935Z","49","2799","5760"
"147.139.133.15","elite","AS45102","ID","Alibaba.com LLC","195","ALICLOUD-ID","61524","socks5","5101","1","2024-01-29T01:29:46.040Z","100","5846","5854"
"187.155.218.135","elite","AS8151","MX","Uninet S.A. de C.V.","125","Uninet S.A. de C.V.","8081","socks5","1077","1","2024-01-29T01:29:46.038Z","81","4805","5936"
"117.26.40.156","elite","AS4134","CN","Chinanet","198","Chinanet FJ","2829","socks4","3897","1","2024-01-29T01:29:46.042Z","65","3828","5901"
"103.47.93.196","elite","AS134058","IN","Broban Internet Services Pvt.ltd","282","Broban  PVT Ltd.","1080","socks4","2091","1","2024-01-29T01:29:42.939Z","99","5943","5991"
"177.72.115.25","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","194","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","1104","1","2024-01-29T01:29:42.941Z","100","5892","5916"
"190.232.196.205","elite","AS6147","PE","Telefonica Del Peru","186","PE-TDPERX7-LACNIC","5678","socks4","4489","1","2024-01-29T01:29:42.940Z","87","5071","5846"
"110.78.146.228","elite","AS131090","TH","CAT-BB","240","N/A","4145","socks4","4907","1","2024-01-29T01:29:42.935Z","92","5355","5838"
"36.92.222.105","elite","AS7713","ID","Telekomunikasi Indonesia","198","Temporary","4145","socks4","3606","1","2024-01-29T01:29:42.938Z","39","2285","5855"
"125.141.139.60","elite","AS4766","KR","Korea Telecom","288","KORNET","5566","socks4","4610","1","2024-01-29T01:29:42.942Z","80","4751","5918"
"138.68.236.23","elite","AS14061","US","DigitalOcean, LLC","192","DigitalOcean, LLC","3128","socks5","6006","1","2024-01-29T01:29:42.936Z","100","5894","5902"
"95.217.222.213","elite","AS24940","FI","Hetzner Online GmbH","42","HETZNER-DC","6969","socks4","4996","1","2024-01-29T01:29:40.134Z","96","5656","5906"
"118.174.209.189","elite","AS23969","TH","TOT Public Company Limited","189","TOT Public Company Limited","4145","socks4","1088","1","2024-01-29T01:29:39.942Z","64","3764","5894"
"185.150.140.143","elite","AS29256","SY","Syrian Telecom","73","N/A","5678","socks4","3999","1","2024-01-29T01:29:39.944Z","85","4943","5839"
"101.109.23.73","elite","AS23969","TH","TOT Public Company Limited","159","TOT Public Company Limited","4145","socks4","1495","1","2024-01-29T01:29:39.943Z","44","2601","5882"
"104.129.205.15","elite","AS22616","US","ZSCALER, INC.","92","Zscaler, Inc.","10289","socks5","5095","1","2024-01-29T01:29:39.945Z","93","5421","5844"
"36.37.71.83","elite","AS4800","ID","LINTASARTA","181","N/A","5430","socks4","407","1","2024-01-29T01:29:37.232Z","98","5793","5939"
"101.42.116.41","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","168","Tencent Cloud Computing (Beijing) Co., Ltd","10809","socks4","2599","1","2024-01-29T01:29:37.235Z","86","5015","5851"
"194.233.69.126","elite","AS141995","SG","Contabo Asia Private Limited","195","Contabo Asia Private Limited","443","socks4","1496","1","2024-01-29T01:29:37.328Z","99","5857","5926"
"43.242.242.140","elite","AS17882","MN","MCS Com Co Ltd","116","OrbitNet LLC","5678","socks4","4293","1","2024-01-29T01:29:37.229Z","88","5170","5891"
"1.4.198.152","elite","AS23969","TH","TOT Public Company Limited","163","TOT Public Company Limited","4145","socks4","4685","1","2024-01-29T01:29:37.141Z","57","3368","5891"
"172.67.254.127","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4496","1","2024-01-29T01:29:34.141Z","100","5787","5788"
"185.225.75.210","elite","AS197450","NL","Sunucun Bilgi Iletisim Teknolojileri VE Ticaret Limited Sirketi","83","Sunucun Bilgi Iletsim Teknolojiler? VE Ticaret Limited","80","http","175","3409","2024-01-29T01:29:34.231Z","100","1","1"
"137.220.61.187","elite","AS20473","US","The Constant Company","97","Vultr Holdings, LLC","10024","socks4","4804","1","2024-01-29T01:29:34.139Z","97","5662","5841"
"102.64.116.1","elite","AS328500","CG","A.M.C Telecom","162","A.M.C Telecom","32850","socks4","1197","1","2024-01-29T01:29:34.328Z","99","5825","5904"
"188.25.121.203","elite","AS8708","RO","RCS & RDS","53","RCS & RDS Residential","8081","socks4","4209","1","2024-01-29T01:29:34.143Z","86","5068","5922"
"45.7.177.10","elite","AS266626","BR","Litoral Telecom","173","Litoral Telecom","52246","socks4","3795","1","2024-01-29T01:29:34.142Z","99","5870","5931"
"186.251.255.249","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","283","Seanet Telecom Carazinho Eireli","31337","socks4","5000","1","2024-01-29T01:29:34.145Z","99","5886","5930"
"188.255.244.137","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","37","Orion Telekom Tim d.o.o.Beograd","1080","socks4","3802","1","2024-01-29T01:29:34.227Z","100","5881","5899"
"200.199.195.138","elite","AS8167","BR","V tal","246","V tal","4145","socks4","1603","1","2024-01-29T01:29:34.140Z","48","2852","5916"
"185.202.7.160","elite","AS42871","AT","Michael Gamsjaeger Network","48","N/A","4153","socks4","4900","1","2024-01-29T01:29:31.028Z","62","3589","5794"
"5.160.168.134","elite","AS42337","IR","Respina Networks & Beyond PJSC","181","Respina","5678","socks4","64","1","2024-01-29T01:29:31.030Z","96","5569","5803"
"201.236.248.250","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","155","EPM Telecomunicaciones S.A. E.S.P.","5678","socks4","5087","2","2024-01-29T01:29:30.848Z","97","5605","5804"
"181.48.63.206","elite","AS14080","CO","Telmex Colombia S.A.","192","Telmex Colombia S.A.","4153","socks4","4294","1","2024-01-29T01:29:30.850Z","98","5774","5900"
"197.234.13.49","elite","AS36902","SC","Intelvision","177","Intelvision Ltd","4145","socks4","2012","1","2024-01-29T01:29:30.847Z","99","5811","5853"
"119.202.6.231","elite","AS4766","KR","Korea Telecom","246","Korea Telecom","1080","socks4","1284","1","2024-01-29T01:29:27.733Z","96","5634","5856"
"51.68.87.73","elite","AS16276","FR","OVH SAS","81","OVH","45177","socks4","1494","1","2024-01-29T01:29:27.829Z","100","5842","5843"
"142.93.52.63","elite","AS14061","US","DigitalOcean, LLC","84","DigitalOcean, LLC","8080","socks4","502","1","2024-01-29T01:29:27.729Z","99","5740","5808"
"103.123.235.58","elite","AS135817","IN","Esto Broadband","150","N/A","61216","socks5","4088","1","2024-01-29T01:29:24.743Z","77","4484","5807"
"51.210.5.69","elite","AS16276","FR","OVH SAS","8","OVH","7497","socks5","4389","1","2024-01-29T01:29:24.929Z","100","5851","5851"
"103.15.245.18","elite","AS58717","BD","Summit Communications Limited","194","SUMMITCOMMUNICATIONS","4153","socks4","4098","1","2024-01-29T01:29:24.828Z","98","5877","5983"
"188.114.99.171","elite","AS13335","NL","Cloudflare, Inc.","2","CloudFlare, Inc.","80","socks4","1496","1","2024-01-29T01:29:24.827Z","100","5885","5888"
"120.77.148.138","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","291","Aliyun Computing Co., LTD","8080","http","184","6187","2024-01-29T01:29:24.832Z","100","1","1"
"208.91.197.18","elite","AS40034","VG","Confluence Networks Inc","75","Confluence Networks Inc","40034","socks5","901","1","2024-01-29T01:29:24.928Z","99","5761","5797"
"185.32.4.65","elite","AS60645","PL","AS Consulting Sp. z o. o.","37","Core Network Fiber","4153","socks4","1603","1","2024-01-29T01:29:24.744Z","99","5845","5875"
"185.169.181.29","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","5097","81","2024-01-29T01:29:24.830Z","100","5921","5942"
"118.174.209.124","elite","AS23969","TH","TOT Public Company Limited","154","TOT Public Company Limited","4145","socks4","3602","1","2024-01-29T01:29:24.745Z","49","2850","5815"
"203.150.136.34","elite","AS45752","TH","Internet Thailand Company Ltd","186","INEXT Broadband Company Limited","3629","socks4","1907","81","2024-01-29T01:29:24.742Z","98","5841","5931"
"173.245.252.206","elite","AS13428","US","Surf Air Wireless, LLC","111","Surf Air Wireless, LLC","54321","socks4","4302","1","2024-01-29T01:29:21.730Z","100","5874","5883"
"157.245.62.1","elite","AS14061","SG","DigitalOcean, LLC","189","DigitalOcean, LLC","9050","socks4","3209","1","2024-01-29T01:29:21.736Z","100","5868","5884"
"71.163.238.129","elite","AS701","US","Verizon Business","88","Verizon Business","1236","socks4","2606","1","2024-01-29T01:29:21.735Z","100","5785","5792"
"187.62.86.129","elite","AS269715","BR","Infinitygo Telecom Ltda","193","Infinitygo Telecom Ltda","5678","socks4","3404","81","2024-01-29T01:29:21.735Z","77","4574","5939"
"91.215.61.181","elite","AS196705","UA","Ardinvest LTD","81","Nikita Sergienko","5678","socks4","4493","1","2024-01-29T01:29:21.826Z","99","5801","5837"
"149.28.44.246","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","10041","socks4","4802","1","2024-01-29T01:29:21.731Z","78","4538","5827"
"196.43.97.114","elite","AS37183","ZW","AfOL-Zw","206","N/A","5678","socks4","4900","1","2024-01-29T01:29:18.331Z","98","5826","5937"
"197.211.240.119","elite","AS30969","ZW","Zimbabwe Online (Private) Ltd.","215","ZOL Cust Assignments","5678","socks4","112","1","2024-01-29T01:29:18.242Z","96","5649","5915"
"201.140.238.231","elite","AS266148","BR","Mais Fibra Telecomunicacao Ltda","169","Mais Fibra Telecomunicacao Ltda","5678","socks4","5494","1","2024-01-29T01:29:18.244Z","100","5906","5926"
"178.62.227.85","elite","AS14061","NL","DigitalOcean, LLC","14","Digital Ocean","49650","socks4","3905","1","2024-01-29T01:29:18.433Z","81","4708","5827"
"202.159.35.225","elite","AS9340","ID","PT IndoInternet","188","N/A","443","socks4","892","1","2024-01-29T01:29:18.243Z","99","5905","5943"
"114.99.5.212","elite","AS4134","CN","Chinanet","220","Chinanet AH","8004","socks5","3212","1","2024-01-29T01:29:15.630Z","62","3618","5845"
"155.93.255.137","elite","AS37680","ZA","CISPIPCT1","181","N/A","4153","socks4","5101","1","2024-01-29T01:29:12.631Z","99","5809","5871"
